entry_dt,exit_dt,side,entry_px,exit_px,pnl,bars,entry_adx,entry_atr,regime,exit_reason
2024-12-31 15:05:00,2024-12-31 16:10:00,SHORT,95010.11428556308,95010.11428556308,-56.91570801770284,,18.746276481528117,275.9731770919527,1,EXIT_SHORT
2024-12-31 16:30:00,2024-12-31 16:35:00,SHORT,94845.673329313,94845.673329313,-1.313993449224327,,22.70475986347285,274.19881922711187,1,EXIT_SHORT
2025-01-02 07:35:00,2025-01-02 08:25:00,LONG,95825.28,95662.22403503724,-1.9163342241911123,10.0,14.771998435920853,113.22230138731223,1,SL
2025-01-02 08:25:00,2025-01-02 08:30:00,SHORT,95662.22403503724,95662.22403503724,-20.081432806926124,,13.868970988132439,116.23856557393258,1,EXIT_SHORT
2025-01-02 08:50:00,2025-01-02 09:00:00,SHORT,96138.42511503636,96138.42511503636,-34.96472467730271,,19.396050962828035,122.16515066125575,1,EXIT_SHORT
2025-01-02 11:05:00,2025-01-02 11:15:00,LONG,96856.9735005491,96665.30086835903,-2.050522976678394,2.0,40.781701050103116,126.5761048983701,1,SL
2025-01-02 11:15:00,2025-01-02 11:20:00,SHORT,96665.30086835903,96665.30086835903,-18.13019774856663,,38.571245663868005,133.59352597705742,1,EXIT_SHORT
2025-01-02 13:10:00,2025-01-02 13:15:00,LONG,96941.32356746972,96751.47309767391,-2.036811671084151,1.0,21.123243015349992,134.76076701645667,1,SL
2025-01-02 13:15:00,2025-01-02 13:20:00,SHORT,96751.47309767391,96751.47309767391,-12.320357565093724,,20.4925238473474,130.45214080099564,1,EXIT_SHORT
2025-01-02 14:30:00,2025-01-02 14:35:00,SHORT,97280.63657634494,97280.63657634494,70.3840210044474,,29.06930875740838,267.75439784289404,1,EXIT_SHORT
2025-01-02 16:30:00,2025-01-02 17:30:00,LONG,97453.70359950328,96967.0534035103,-3.649238254271198,12.0,17.402551245039266,288.4313923255117,1,SL
2025-01-02 17:30:00,2025-01-02 17:35:00,SHORT,96967.0534035103,96967.0534035103,-2.602837241982991,,18.4203407687016,300.988435730832,1,EXIT_SHORT
2025-01-02 19:05:00,2025-01-02 21:20:00,LONG,97527.53991412293,97136.51627628673,-3.1035595074101954,27.0,12.927468412696669,176.41098272906726,1,SL
2025-01-02 21:20:00,2025-01-02 21:25:00,SHORT,97136.51627628673,97136.51627628673,-16.121369152511917,,13.393539567318788,166.84162681984833,1,EXIT_SHORT
2025-01-03 16:20:00,2025-01-03 16:30:00,SHORT,98368.32618274976,98368.32618274976,-6.882272161554834,,23.855787867265537,270.9963028449372,2,EXIT_SHORT
2025-01-06 14:40:00,2025-01-06 14:45:00,LONG,99649.74282893866,100405.88369249654,2.8742469547756357,1.0,20.30468566034444,316.0486006250619,1,TP
2025-01-06 14:45:00,2025-01-06 14:50:00,SHORT,100405.88369249654,100405.88369249654,-21.8615521810267,,23.095455178276573,351.8844148661289,1,EXIT_SHORT
2025-01-06 17:25:00,2025-01-06 17:35:00,LONG,101994.84,101592.83474947544,-3.0494636593532514,2.0,29.588048586170146,284.6874569341858,1,SL
2025-01-06 17:35:00,2025-01-06 17:40:00,SHORT,101592.83474947544,101592.83474947544,-10.226781876095247,,28.987712500292705,288.1740671531725,1,EXIT_SHORT
2025-01-06 20:10:00,2025-01-06 20:45:00,LONG,102129.328729556,101869.0920674545,-2.334961991503935,7.0,10.299757605182945,182.7500398251866,1,SL
2025-01-06 20:45:00,2025-01-06 20:50:00,SHORT,101869.0920674545,101869.0920674545,-15.345337693318646,,9.98339818791973,190.81360840910182,1,EXIT_SHORT
2025-01-07 00:35:00,2025-01-07 06:05:00,SHORT,102649.80205375899,102649.80205375899,61.033785169403515,,22.771463944597706,74.83056696754595,1,EXIT_SHORT
2025-01-07 15:00:00,2025-01-07 15:05:00,SHORT,99271.67239715971,99271.67239715971,-34.96971371819717,,34.40057055425974,330.5877298510137,0,EXIT_SHORT
2025-01-10 10:55:00,2025-01-10 11:15:00,LONG,95046.83933088339,94857.88761571316,-2.0504001576125743,4.0,27.34343516316225,132.7015864392818,1,SL
